Gene	Cancer	KEY	Tumor suppressor or oncogene prediction (by 20/20+)	Decision	Tissue Frequency	Pancan Frequency	Consensus Score	Correlation adusted score	Novel	Rescue Notes	Note about previous publication
AMER1	COADREAD	AMER1_COADREAD	possible tsg	official	0.117088607594937	0.027425927965635	3	2.434835508443	0	NA	0
APC	PRAD	APC_PRAD	tsg	official	2.0964360587002101E-2	0.0587069060469215	3	1.99382866181235	0	NA	0
APC	PANCAN	APC_PANCAN	tsg	official	"NA"	0.0587069060469215	3.5	2.984498591833	0	NA	Found in 24132290
APC	STAD	APC_STAD	tsg	official	8.9635854341736695E-2	0.0587069060469215	4	3.468906458336	0	NA	Found in 25079317
APC	COADREAD	APC_COADREAD	tsg	official	0.819620253164557	0.0587069060469215	4.5	2.92695558566189	0	NA	Found in 22810696
APOB	LIHC	APOB_LIHC	possible tsg	official	0.101694915254237	0.080845908139663	1.5	1.5	1	NA	Found in private communication about integrative LIHC analysis
AR	PANCAN	AR_PANCAN	NA	rescued	"NA"	0.0146491904394757	0	NA	0	Evidence from OncoImpact (SNV result)	NA
ARAF	PANCAN	ARAF_PANCAN	NA	rescued	"NA"	0.00793038880934024	0	NA	0	Evidence from DriverNet (SNV result)	NA
ARHGAP35	LUSC	ARHGAP35_LUSC	tsg	official	6.0344827586206899E-2	0.0257737636303558	2	2	0	NA	0
ARHGAP35	PANCAN	ARHGAP35_PANCAN	tsg	official	"NA"	0.0257737636303558	2.5	1.984498591833	0	NA	Found in 24132290
ARHGAP35	UCEC	ARHGAP35_UCEC	tsg	official	0.13888888888888901	0.0257737636303558	3	2.7023006259305	0	NA	0
ARID1A	ESCA	ARID1A_ESCA	tsg	official	6.9767441860465101E-2	0.0668575834342989	1	0	0	NA	Found in 28052061
ARID1A	LUAD	ARID1A_LUAD	tsg	official	4.6403712296983798E-2	0.0668575834342989	2	2	0	NA	Found in 25079552
ARID1A	LUSC	ARID1A_LUSC	tsg	official	7.3275862068965497E-2	0.0668575834342989	2	2	0	NA	0
ARID1A	UCS	ARID1A_UCS	tsg	official	9.0909090909090898E-2	0.0668575834342989	2	2	0	NA	Found in 28292439
ARID1A	CHOL	ARID1A_CHOL	NA	official	0.11764705882352899	0.0668575834342989	2.5	1.802840659402	0	NA	Found in 28297679
ARID1A	COADREAD	ARID1A_COADREAD	possible oncogene	official	5.0632911392405097E-2	0.0668575834342989	2.5	2.5	0	NA	Found in 22810696
ARID1A	CESC	ARID1A_CESC	tsg	official	5.8394160583941597E-2	0.0668575834342989	3	1.905931306298585	0	NA	Found in 28112728
ARID1A	LGG	ARID1A_LGG	possible tsg	official	3.9215686274509803E-2	0.0668575834342989	3	2.470020363811	0	NA	Found in 26061751
ARID1A	PAAD	ARID1A_PAAD	tsg	official	5.16129032258065E-2	0.0668575834342989	3	2.453312720865	0	NA	Found in private communication about integrative PAAD analysis
ARID1A	BLCA	ARID1A_BLCA	tsg	official	0.25906735751295301	0.0668575834342989	3.5	2.434101995475835	0	NA	Found in 24476821
ARID1A	BRCA	ARID1A_BRCA	tsg	official	3.3376123234916601E-2	0.0668575834342989	3.5	3.5	0	NA	0
ARID1A	LIHC	ARID1A_LIHC	tsg	official	9.03954802259887E-2	0.0668575834342989	3.5	3.07745676217175	0	NA	Found in private communication about integrative LIHC analysis
ARID1A	PANCAN	ARID1A_PANCAN	tsg	official	"NA"	0.0668575834342989	3.5	2.984498591833	0	NA	Found in 24132290
ARID1A	UCEC	ARID1A_UCEC	tsg	official	0.39646464646464602	0.0668575834342989	3.5	3.2023006259305	0	NA	Found in 23636398
ARID1A	STAD	ARID1A_STAD	tsg	official	0.15406162464986001	0.0668575834342989	4	3.468906458336	0	NA	Found in 25079317
ARID2	HNSC	ARID2_HNSC	possible tsg	official	3.7848605577689202E-2	0.0316114109483423	2	1.46463141701	0	NA	0
ARID2	LGG	ARID2_LGG	possible tsg	official	1.9607843137254902E-2	0.0316114109483423	2	1.470020363811	0	NA	0
ARID2	STAD	ARID2_STAD	possible tsg	official	5.3221288515406202E-2	0.0316114109483423	2	1.468906458336	0	NA	0
ARID2	LIHC	ARID2_LIHC	tsg	official	5.6497175141242903E-2	0.0316114109483423	3	3	0	NA	Found in private communication about integrative LIHC analysis
ARID2	PANCAN	ARID2_PANCAN	tsg	official	"NA"	0.0316114109483423	3.5	2.984498591833	0	NA	0
ARID2	SKCM	ARID2_SKCM	tsg	official	0.12085308056872	0.0316114109483423	3.5	3.5	0	NA	Found in 26091043
ARID5B	UCEC	ARID5B_UCEC	possible tsg	official	0.12121212121212099	0.0171825090869038	1.5	1.2023006259305	0	NA	0
ASXL1	PANCAN	ASXL1_PANCAN	possible tsg	official	"NA"	0.0210375592025553	1.5	1.5	0	NA	Found in 24132290
ASXL1	LAML	ASXL1_LAML	tsg	official	4.3165467625899297E-2	0.0210375592025553	2.5	2.5	0	NA	0
ASXL2	PANCAN	ASXL2_PANCAN	possible tsg	official	"NA"	0.0185042405551272	1.5	1.5	0	NA	0
ASXL2	BLCA	ASXL2_BLCA	possible tsg	official	7.5129533678756494E-2	0.0185042405551272	3	2.5796734569315	0	NA	0
ATF7IP	UCEC	ATF7IP_UCEC	possible tsg	official	4.7979797979797997E-2	0.0175129419539597	1.5	1.5	1	NA	0
ATF7IP	PANCAN	ATF7IP_PANCAN	tsg	official	"NA"	0.0175129419539597	2	1.484498591833	1	NA	0
ATM	UCEC	ATM_UCEC	tsg	official	0.10353535353535399	0.0411939640929618	1.5	1.5	0	NA	0
ATM	BLCA	ATM_BLCA	possible tsg	official	0.13471502590673601	0.0411939640929618	2	1.5796734569315	0	NA	0
ATM	PANCAN	ATM_PANCAN	tsg	official	"NA"	0.0411939640929618	3	2.484498591833	0	NA	Found in 24132290
ATM	LUAD	ATM_LUAD	tsg	official	7.88863109048724E-2	0.0411939640929618	3.5	3.5	0	NA	0
ATM	KIRC	ATM_KIRC	tsg	official	4.0760869565217399E-2	0.0411939640929618	4	2.96963978780667	0	NA	0
ATR	PANCAN	ATR_PANCAN	possible tsg	official	"NA"	0.0280867936997467	0.5	0	0	NA	Found in 24132290
ATR	UCEC	ATR_UCEC	possible tsg	official	4.7979797979797997E-2	0.0280867936997467	0.5	0	0	NA	Found in 23636398
ATRX	ACC	ATRX_ACC	possible tsg	official	4.4444444444444398E-2	0.0569445974226236	2	2	0	NA	Found in 27165744
ATRX	GBM	ATRX_GBM	tsg	official	7.3954983922829606E-2	0.0569445974226236	3.5	2.40547185070332	0	NA	Found in 24120142
ATRX	PANCAN	ATRX_PANCAN	tsg	official	"NA"	0.0569445974226236	4	3.484498591833	0	NA	Found in 24132290
ATRX	SARC	ATRX_SARC	tsg	official	0.16666666666666699	0.0569445974226236	5	3.206010760151765	0	NA	Found in private communication about integrative SARC analysis
ATRX	LGG	ATRX_LGG	tsg	official	0.38235294117647101	0.0569445974226236	5.5	3.566428460908175	0	NA	Found in 26061751
ATXN3	PANCAN	ATXN3_PANCAN	possible tsg	official	"NA"	0.00396519440467012	1.5	1.5	1	NA	0
AXIN1	PANCAN	AXIN1_PANCAN	tsg	official	"NA"	0.0140984689943826	2.5	1.984498591833	0	NA	0
AXIN1	LIHC	AXIN1_LIHC	tsg	official	7.6271186440677999E-2	0.0140984689943826	3.5	3.07745676217175	0	NA	Found in private communication about integrative LIHC analysis
AXIN2	PANCAN	AXIN2_PANCAN	possible tsg	rescued	"NA"	0.0126665932371407	0	NA	0	Evidence from OncoImpact (SNV result)	NA
B2M	PANCAN	B2M_PANCAN	possible tsg	official	"NA"	0.00914197598854499	2.5	1.984498591833	0	NA	0
B2M	DLBC	B2M_DLBC	possible tsg	official	0.24324324324324301	0.00914197598854499	3	2.195172191928	0	NA	0
BAP1	KIRP	BAP1_KIRP	possible tsg	official	5.0909090909090897E-2	0.0213679920696112	2	1.283471494581	0	NA	0
BAP1	PANCAN	BAP1_PANCAN	tsg	official	"NA"	0.0213679920696112	3	2.484498591833	0	NA	Found in 24132290
BAP1	CHOL	BAP1_CHOL	tsg	official	0.17647058823529399	0.0213679920696112	3.5	2.802840659402	0	NA	Found in 28297679
BAP1	LIHC	BAP1_LIHC	tsg	official	5.93220338983051E-2	0.0213679920696112	3.5	3.07745676217175	0	NA	Found in private communication about integrative LIHC analysis
BAP1	UVM	BAP1_UVM	tsg	official	0.16250000000000001	0.0213679920696112	3.5	2.7928566643865	0	NA	Found in private communication about integrative UVM analysis
BAP1	MESO	BAP1_MESO	tsg	official	0.22222222222222199	0.0213679920696112	4.5	2.645159692111975	0	NA	0
BAP1	KIRC	BAP1_KIRC	tsg	official	0.10597826086956499	0.0213679920696112	6.5	4.76352538587967	0	NA	Found in 23792563
BCL2	PANCAN	BCL2_PANCAN	NA	rescued	"NA"	0.00396519440467012	0	NA	0	Evidence from DriverNet (CNA result) and OncoImpact (CNA result)	NA
BCL2L11	UCS	BCL2L11_UCS	NA	official	3.6363636363636397E-2	0.0053970701619121	1.5	1.5	0	NA	0
BCOR	UCEC	BCOR_UCEC	possible oncogene	official	0.11111111111111099	0.0265447736534861	2.5	2.2023006259305	0	NA	0
BCOR	STAD	BCOR_STAD	tsg	official	5.6022408963585402E-2	0.0265447736534861	3	2.468906458336	0	NA	Found in 25079317
BCOR	PANCAN	BCOR_PANCAN	tsg	official	"NA"	0.0265447736534861	3.5	2.984498591833	0	NA	0
BRAF	PRAD	BRAF_PRAD	possible oncogene	official	1.25786163522013E-2	0.0710430664170063	0.5	0	0	NA	Found in 26544944
BRAF	GBM	BRAF_GBM	oncogene	official	1.9292604501607701E-2	0.0710430664170063	2.5	2.5	0	NA	Found in 24120142
BRAF	COADREAD	BRAF_COADREAD	oncogene	official	5.0632911392405097E-2	0.0710430664170063	4.5	4.5	0	NA	Found in 22810696
BRAF	PANCAN	BRAF_PANCAN	oncogene	official	"NA"	0.0710430664170063	5	4.484498591833	0	NA	Found in 24132290
BRAF	LUAD	BRAF_LUAD	oncogene	official	7.1925754060324795E-2	0.0710430664170063	5.5	4.995926434204	0	NA	Found in 25079552
BRAF	SKCM	BRAF_SKCM	oncogene	official	0.52132701421800998	0.0710430664170063	6	5.5435752470257	0	NA	Found in 26091043
BRAF	THCA	BRAF_THCA	oncogene	official	0.59146341463414598	0.0710430664170063	7	4.372517946746985	0	NA	Found in 25417114
BRCA1	OV	BRCA1_OV	possible tsg	official	4.4117647058823498E-2	0.0204868377574623	1	0	0	NA	Found in 21720365
BRCA1	PANCAN	BRCA1_PANCAN	tsg	official	"NA"	0.0204868377574623	2.5	1.984498591833	0	NA	Found in 24132290
BRCA1	BRCA	BRCA1_BRCA	tsg	official	3.0808729139923E-2	0.0204868377574623	3	3	0	NA	0
BRCA2	PANCAN	BRCA2_PANCAN	possible tsg	official	"NA"	0.0327128538385285	0.5	0	0	NA	Found in 24132290
BRD7	LIHC	BRD7_LIHC	tsg	official	3.10734463276836E-2	0.00848111025443331	1.5	1.5	1	NA	0
BRD7	PANCAN	BRD7_PANCAN	tsg	official	"NA"	0.00848111025443331	2.5	1.984498591833	1	NA	0
BRD7	SKCM	BRD7_SKCM	tsg	official	2.8436018957346001E-2	0.00848111025443331	2.5	2.5	1	NA	0
BTG2	DLBC	BTG2_DLBC	possible tsg	official	0.35135135135135098	0.00572750302896795	2	1.195172191928	1	NA	0
CACNA1A	PANCAN	CACNA1A_PANCAN	possible oncogene	official	"NA"	0.0342548738847891	2	2	1	NA	0
CARD11	DLBC	CARD11_DLBC	possible oncogene	official	0.21621621621621601	0.0279766494107281	2	1.195172191928	0	NA	0
CASP8	CESC	CASP8_CESC	tsg	official	4.3795620437956199E-2	0.0175129419539597	2.5	2.5	0	NA	Found in 28112728
CASP8	STAD	CASP8_STAD	possible tsg	official	2.2408963585434202E-2	0.0175129419539597	2.5	2.5	0	NA	0
CASP8	PANCAN	CASP8_PANCAN	tsg	official	"NA"	0.0175129419539597	3	2.484498591833	0	NA	0
CASP8	BRCA	CASP8_BRCA	possible tsg	official	2.0539152759948699E-2	0.0175129419539597	3.5	2.447568696398	0	NA	0
CASP8	HNSC	CASP8_HNSC	tsg	official	0.103585657370518	0.0175129419539597	5	3.914535963739545	0	NA	Found in 25631445
CBFB	PANCAN	CBFB_PANCAN	possible tsg	official	"NA"	0.00484634871681903	0.5	0	0	NA	Found in 24132290
CBFB	BRCA	CBFB_BRCA	possible tsg	official	2.3106546854942199E-2	0.00484634871681903	2	1.51789786493	0	NA	0
CBWD3	PANCAN	CBWD3_PANCAN	NA	official	"NA"	6.60865734111686e-4	1.5	1.5	1	NA	0
CCND1	PANCAN	CCND1_PANCAN	possible oncogene	official	"NA"	0.00771010023130301	2.5	2.5	0	NA	Found in 24132290
CCND1	UCEC	CCND1_UCEC	possible oncogene	official	7.0707070707070704E-2	0.00771010023130301	3.5	2.6714347434945	0	NA	0
CD70	DLBC	CD70_DLBC	possible tsg	official	0.108108108108108	0.00374490582663289	1.5	1.5	0	NA	0
CD79B	DLBC	CD79B_DLBC	oncogene	official	0.135135135135135	0.0038550501156515	3.5	2.695172191928	0	NA	0
CDH1	PANCAN	CDH1_PANCAN	tsg	official	"NA"	0.0243418878731138	2.5	1.984498591833	0	NA	Found in 24132290
CDH1	STAD	CDH1_STAD	oncogene	official	8.9635854341736695E-2	0.0243418878731138	3	3	0	NA	Found in 25079317
CDH1	BRCA	CDH1_BRCA	tsg	official	0.130937098844673	0.0243418878731138	5	3.42274676008079	0	NA	Found in 23000897
CDK12	OV	CDK12_OV	tsg	official	4.65686274509804E-2	0.0204868377574623	2	2	0	NA	Found in 21720365
CDK12	PANCAN	CDK12_PANCAN	tsg	official	"NA"	0.0204868377574623	2.5	1.984498591833	0	NA	Found in 24132290
CDK4	PANCAN	CDK4_PANCAN	oncogene	official	"NA"	0.00440577156074458	2	2	0	NA	0
CDK4	SKCM	CDK4_SKCM	oncogene	official	2.60663507109005E-2	0.00440577156074458	2.5	2.5	0	NA	0
CDKN1A	LIHC	CDKN1A_LIHC	possible oncogene	official	2.5423728813559299E-2	0.00914197598854499	1.5	1.5	0	NA	0
CDKN1A	BLCA	CDKN1A_BLCA	tsg	official	9.5854922279792698E-2	0.00914197598854499	2.5	2.0796734569315	0	NA	Found in 24476821
CDKN1A	PANCAN	CDKN1A_PANCAN	tsg	official	"NA"	0.00914197598854499	3	2.484498591833	0	NA	Found in 24132290
CDKN1B	BRCA	CDKN1B_BRCA	possible tsg	official	1.15532734274711E-2	0.00660865734111686	1.5	1.5	0	NA	Found in 23000897
CDKN1B	PANCAN	CDKN1B_PANCAN	possible tsg	official	"NA"	0.00660865734111686	2.5	1.984498591833	0	NA	Found in 24132290
CDKN2A	LIHC	CDKN2A_LIHC	possible tsg	official	2.82485875706215E-2	0.0398722326247384	1.5	1.5	0	NA	Found in private communication about integrative LIHC analysis
CDKN2A	LUAD	CDKN2A_LUAD	possible tsg	official	3.7122969837586998E-2	0.0398722326247384	2	2	0	NA	Found in 25079552
CDKN2A	STAD	CDKN2A_STAD	possible tsg	official	3.9215686274509803E-2	0.0398722326247384	2	2	0	NA	0
CDKN2A	BLCA	CDKN2A_BLCA	tsg	official	5.1813471502590698E-2	0.0398722326247384	3.5	2.434101995475835	0	NA	Found in 24476821
CDKN2A	ESCA	CDKN2A_ESCA	possible tsg	official	8.1395348837209294E-2	0.0398722326247384	4	4	0	NA	Found in 28052061
CDKN2A	PANCAN	CDKN2A_PANCAN	tsg	official	"NA"	0.0398722326247384	4	3.484498591833	0	NA	Found in 24132290
CDKN2A	LUSC	CDKN2A_LUSC	tsg	official	0.16163793103448301	0.0398722326247384	4.5	4.5	0	NA	Found in 22960745
CDKN2A	SKCM	CDKN2A_SKCM	tsg	official	0.11374407582938401	0.0398722326247384	4.5	4.5	0	NA	Found in 26091043
CDKN2A	HNSC	CDKN2A_HNSC	tsg	official	0.20717131474103601	0.0398722326247384	5	3.914535963739545	0	NA	Found in 25631445
CDKN2A	PAAD	CDKN2A_PAAD	tsg	official	0.225806451612903	0.0398722326247384	5	3.00049327488453	0	NA	Found in private communication about integrative PAAD analysis
CDKN2C	PANCAN	CDKN2C_PANCAN	possible tsg	rescued	"NA"	0.00374490582663289	0	NA	0	Expert curation	NA
CEBPA	LAML	CEBPA_LAML	possible oncogene	rescued	7.1942446043165497E-3	0.00187245291331644	0	NA	0	Poor Variant Calling in liquid tumor, from manuscript	NA
CHD3	PANCAN	CHD3_PANCAN	possible tsg	official	"NA"	0.020266549179425	1.5	1.5	1	NA	0
CHD3	UCEC	CHD3_UCEC	possible tsg	official	0.10858585858585899	0.020266549179425	2	1.7023006259305	1	NA	0
CHD4	BRCA	CHD4_BRCA	oncogene	official	2.5673940949935799E-2	0.0309505452142306	1.5	1.5	0	NA	0
CHD4	UCS	CHD4_UCS	possible tsg	official	0.145454545454545	0.0309505452142306	1.5	1.5	0	NA	Found in 28292439
CHD4	UCEC	CHD4_UCEC	possible oncogene	official	0.169191919191919	0.0309505452142306	2.5	2.2023006259305	0	NA	0
CHD4	PANCAN	CHD4_PANCAN	possible oncogene	official	"NA"	0.0309505452142306	3	2.484498591833	0	NA	0
CHD8	PANCAN	CHD8_PANCAN	tsg	official	"NA"	0.0229100121158718	1.5	1.5	0	NA	0
CHEK2	PANCAN	CHEK2_PANCAN	possible tsg	official	"NA"	0.00870139883247054	1	0	0	NA	Found in 24132290
CIC	PANCAN	CIC_PANCAN	possible tsg	official	"NA"	0.0276462165436722	4.5	3.984498591833	0	NA	0
CIC	LGG	CIC_LGG	possible tsg	official	0.21372549019607801	0.0276462165436722	7.5	5.1185875407549	0	NA	Found in 26061751
CNBD1	STAD	CNBD1_STAD	oncogene	official	4.20168067226891E-2	0.0140984689943826	2.5	2.5	0	NA	0
COL5A1	SKCM	COL5A1_SKCM	oncogene	official	0.17772511848341199	0.0396519440467012	1.5	1.5	0	NA	0
CREB3L3	LIHC	CREB3L3_LIHC	possible tsg	official	1.6949152542372899E-2	0.00958255314461945	1	0	1	NA	Found in private communication about integrative LIHC analysis
CREBBP	BLCA	CREBBP_BLCA	tsg	official	0.12694300518134699	0.03656790395418	2.5	2.0796734569315	0	NA	0
CREBBP	PANCAN	CREBBP_PANCAN	tsg	official	"NA"	0.03656790395418	3	2.484498591833	0	NA	0
CSDE1	PCPG	CSDE1_PCPG	tsg	official	2.23463687150838E-2	0.0117854389249917	2.5	2.5	0	NA	Found in 28162975
CTCF	BRCA	CTCF_BRCA	possible tsg	official	2.5673940949935799E-2	0.0193853948672761	2	1.51789786493	0	NA	Found in 23000897
CTCF	PANCAN	CTCF_PANCAN	tsg	official	"NA"	0.0193853948672761	3	2.484498591833	0	NA	Found in 24132290
CTCF	UCEC	CTCF_UCEC	tsg	official	0.184343434343434	0.0193853948672761	4.5	4.2023006259305	0	NA	0
CTNNB1	BLCA	CTNNB1_BLCA	oncogene	official	3.10880829015544E-2	0.0356867496420311	2	2	0	NA	0
CTNNB1	COADREAD	CTNNB1_COADREAD	oncogene	official	3.7974683544303799E-2	0.0356867496420311	2.5	2.5	0	NA	Found in 22810696
CTNNB1	SKCM	CTNNB1_SKCM	oncogene	official	5.2132701421800903E-2	0.0356867496420311	2.5	2.175760963795	0	NA	Found in 26091043
CTNNB1	PRAD	CTNNB1_PRAD	oncogene	official	1.88679245283019E-2	0.0356867496420311	3.5	3.5	0	NA	Found in 26544944
CTNNB1	STAD	CTNNB1_STAD	oncogene	official	4.7619047619047603E-2	0.0356867496420311	3.5	3.5	0	NA	Found in 25079317
CTNNB1	LUAD	CTNNB1_LUAD	oncogene	official	3.94431554524362E-2	0.0356867496420311	4	3.495926434204	0	NA	0
CTNNB1	PANCAN	CTNNB1_PANCAN	oncogene	official	"NA"	0.0356867496420311	4.5	3.984498591833	0	NA	Found in 24132290
CTNNB1	UCEC	CTNNB1_UCEC	oncogene	official	0.214646464646465	0.0356867496420311	4.5	3.6714347434945	0	NA	Found in 23636398
CTNNB1	ACC	CTNNB1_ACC	oncogene	official	0.155555555555556	0.0356867496420311	5	3.14063700054478	0	NA	Found in 27165744
CTNNB1	LIHC	CTNNB1_LIHC	oncogene	official	0.26271186440678002	0.0356867496420311	6.5	5.02502987369775	0	NA	Found in private communication about integrative LIHC analysis
CTNND1	UCEC	CTNND1_UCEC	tsg	official	6.3131313131313094E-2	0.0153100561735874	1.5	1.5	0	NA	0
CTNND1	PANCAN	CTNND1_PANCAN	tsg	official	"NA"	0.0153100561735874	2.5	1.984498591833	0	NA	0
CUL1	BLCA	CUL1_BLCA	oncogene	official	4.6632124352331598E-2	0.012005727503029	1.5	1.5	0	NA	0
CUL1	PANCAN	CUL1_PANCAN	oncogene	official	"NA"	0.012005727503029	2.5	1.984498591833	0	NA	0
CUL3	HNSC	CUL3_HNSC	possible tsg	official	3.58565737051793E-2	0.013988324705364	2	2	1	NA	0
CUL3	LUSC	CUL3_LUSC	tsg	official	5.6034482758620698E-2	0.013988324705364	2	2	1	NA	0
CUL3	PANCAN	CUL3_PANCAN	tsg	official	"NA"	0.013988324705364	2.5	1.984498591833	1	NA	0
CUL3	KIRP	CUL3_KIRP	tsg	official	3.6363636363636397E-2	0.013988324705364	4.5	3.783471494581	1	NA	0
CYLD	HNSC	CYLD_HNSC	possible tsg	official	2.3904382470119501E-2	0.00980284172265668	2	2	0	NA	0
CYSLTR2	UVM	CYSLTR2_UVM	oncogene	official	3.7499999999999999E-2	0.00737966736424716	2.5	2.5	1	NA	Found in private communication about integrative UVM analysis
DACH1	SKCM	DACH1_SKCM	oncogene	official	8.5308056872037893E-2	0.0176230862429783	1.5	1.5	1	NA	0
DAZAP1	PANCAN	DAZAP1_PANCAN	possible tsg	official	"NA"	0.00870139883247054	2	2	1	NA	0
DDX3X	SKCM	DDX3X_SKCM	tsg	official	5.4502369668246398E-2	0.0144289018614385	1.5	1.5	0	NA	Found in 26091043
DDX3X	PANCAN	DDX3X_PANCAN	tsg	official	"NA"	0.0144289018614385	2	1.484498591833	0	NA	0
DHX9	LIHC	DHX9_LIHC	possible oncogene	official	3.10734463276836E-2	0.0131071703932151	1.5	1.5	0	NA	0
DIAPH2	BLCA	DIAPH2_BLCA	possible oncogene	official	5.4404145077720199E-2	0.0159709219076991	2	2	1	NA	0
DICER1	UCEC	DICER1_UCEC	possible oncogene	official	6.3131313131313094E-2	0.0192752505782575	2	2	0	NA	0
DMD	STAD	DMD_STAD	oncogene	official	0.106442577030812	0.070272056393876	1.5	1.5	0	NA	0
DNMT3A	PANCAN	DNMT3A_PANCAN	tsg	official	"NA"	0.0205969820464809	1.5	1.5	0	NA	Found in 24132290
DNMT3A	THCA	DNMT3A_THCA	tsg	official	8.1300813008130107E-3	0.0205969820464809	2	2	0	NA	0
DNMT3A	LAML	DNMT3A_LAML	tsg	official	0.12230215827338101	0.0205969820464809	2.5	1.8629109186025	0	NA	Found in 23634996
EEF1A1	PANCAN	EEF1A1_PANCAN	possible oncogene	official	"NA"	0.0112347174798987	2	2	0	NA	0
EEF1A1	LIHC	EEF1A1_LIHC	oncogene	official	2.82485875706215E-2	0.0112347174798987	3.5	3.07745676217175	0	NA	Found in private communication about integrative LIHC analysis
EEF2	PAAD	EEF2_PAAD	tsg	official	1.9354838709677399E-2	0.0106839960348056	1.5	1.5	1	NA	0
EGFR	PANCAN	EGFR_PANCAN	oncogene	official	"NA"	0.0377794911333847	4	3.484498591833	0	NA	Found in 24132290
EGFR	GBM	EGFR_GBM	oncogene	official	0.23151125401929301	0.0377794911333847	5.5	4.74150733773425	0	NA	Found in 24120142
EGFR	LUAD	EGFR_LUAD	oncogene	official	0.13921113689095099	0.0377794911333847	5.5	4.995926434204	0	NA	Found in 25079552
EGFR	LGG	EGFR_LGG	oncogene	official	6.8627450980392204E-2	0.0377794911333847	6.5	4.72314414641275	0	NA	Found in 26061751
EGR3	PANCAN	EGR3_PANCAN	NA	rescued	"NA"	0.00605793589602379	0	NA	0	Evidence from DriverNet (SNV result)	NA
EIF1AX	PANCAN	EIF1AX_PANCAN	possible oncogene	official	"NA"	0.00616808018504241	3.5	3.5	1	NA	0
EIF1AX	THCA	EIF1AX_THCA	oncogene	official	1.42276422764228E-2	0.00616808018504241	4	3.560581020435	1	NA	Found in 25417114
EIF1AX	UVM	EIF1AX_UVM	oncogene	official	0.125	0.00616808018504241	4.5	3.2490414467765	1	NA	Found in private communication about integrative UVM analysis
ELF3	PANCAN	ELF3_PANCAN	possible tsg	official	"NA"	0.0133274589712523	1.5	1.5	0	NA	Found in 24132290
ELF3	BLCA	ELF3_BLCA	possible tsg	official	0.13989637305699501	0.0133274589712523	2	1.5796734569315	0	NA	Found in 24476821
EP300	UCEC	EP300_UCEC	tsg	official	9.0909090909090898E-2	0.0330432867055843	1.5	1.5	0	NA	0
EP300	LUSC	EP300_LUSC	oncogene	official	3.6637931034482797E-2	0.0330432867055843	2.5	2.5	0	NA	0
EP300	PANCAN	EP300_PANCAN	tsg	official	"NA"	0.0330432867055843	3.5	2.984498591833	0	NA	Found in 24132290
EP300	BLCA	EP300_BLCA	tsg	official	0.137305699481865	0.0330432867055843	4.5	3.434101995475835	0	NA	Found in 24476821
EP300	HNSC	EP300_HNSC	possible tsg	official	7.3705179282868502E-2	0.0330432867055843	4.5	3.964631417009995	0	NA	0
